Entry,Index,NAME,ano(ANO1)
search2|DAMSOB|204,205,DAMSOB,30.0
search2|DAMSUH|205,206,DAMSUH,30.0
search2|DAVZOT|206,207,DAVZOT,30.0
search2|DAVZUZ|207,208,DAVZUZ,30.0
search2|DAXYEH|208,209,DAXYEH,29.0
search2|DAYPOK|209,210,DAYPOK,30.0
search2|DAYPUQ|210,211,DAYPUQ,30.0
search2|DECZAP|211,212,DECZAP,27.0
search2|DECZET|212,213,DECZET,27.0
search2|DEDYES|213,214,DEDYES,30.0
search2|DEFGAY|214,215,DEFGAY,30.0
search2|DEFGEC|215,216,DEFGEC,30.0
search2|DEFGIG|216,217,DEFGIG,30.0
search2|DEFGOM|217,218,DEFGOM,30.0
search2|DEFGUS|218,219,DEFGUS,30.0
search2|DEFHAZ|219,220,DEFHAZ,30.0
search2|DEFHAZ|220,221,DEFHAZ,30.0
search2|DEFHED|221,222,DEFHED,30.0
search2|DEFHED|222,223,DEFHED,30.0
search2|DEFHIH|223,224,DEFHIH,30.0
search2|DEFHIH|224,225,DEFHIH,30.0
search2|DEFHON|225,226,DEFHON,48.0
search2|DEFHUT|226,227,DEFHUT,30.0
search2|DEFJAB|227,228,DEFJAB,30.0
search2|DEFJAB01|228,229,DEFJAB01,30.0
search2|DEMMUD|229,230,DEMMUD,27.0
search2|DEMQAN|230,231,DEMQAN,27.0
search2|DEMQER|231,232,DEMQER,27.0
search2|DEMQIV|232,233,DEMQIV,27.0
search2|DEQGEO|233,234,DEQGEO,28.0
search2|DERYEE|234,235,DERYEE,29.0
search2|DETDUC|235,236,DETDUC,29.0
search2|DETDUC|236,237,DETDUC,29.0
search2|DEZJID|237,238,DEZJID,29.0
search2|DIMJUH|238,239,DIMJUH,29.0
search2|DIMKAO|239,240,DIMKAO,29.0
search2|DIMKAO|240,241,DIMKAO,29.0
search2|DIMLIX|241,242,DIMLIX,29.0
search2|DIMLIX|242,243,DIMLIX,29.0
search2|DIMLIX|243,244,DIMLIX,29.0
search2|DIMLIX|244,245,DIMLIX,29.0
search2|DIRVOT|245,246,DIRVOT,39.0
search2|DIRVOT|246,247,DIRVOT,39.0
search2|DITSEI|247,248,DITSEI,65.0
search2|DITSIM|248,249,DITSIM,67.0
search2|DITSOS|249,250,DITSOS,64.0
search2|DITSUY|250,251,DITSUY,66.0
search2|DOKLOE|251,252,DOKLOE,27.0
search2|DONKOG|252,253,DONKOG,29.0
search2|DONWOU|253,254,DONWOU,29.0
